#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  216.0200	    32.8200	     0.9346	  2210.0368	    31.8895	  2241.9264	   607.3600	   607.3600	   597.5400	   324.4200	     3.9940	     3.7100	   766.3200	 regenerative cooling, opposite flow	 
  223.1700	    34.3000	     0.8630	  2039.9028	    30.0049	  2069.9077	   603.6600	   603.6600	   594.5900	   321.7600	     3.9950	     3.5600	   768.6600	 regenerative cooling, opposite flow	 
  230.3100	    35.7700	     0.8000	  1890.3290	    28.4672	  1918.7962	   600.0900	   600.0900	   591.6900	   319.1800	     3.9960	     3.4100	   770.9500	 regenerative cooling, opposite flow	 
  237.4500	    37.2400	     0.7442	  1758.0930	    27.0769	  1785.1698	   596.6300	   596.6300	   588.8100	   316.6500	     3.9960	     3.2800	   773.1900	 regenerative cooling, opposite flow	 
  244.6000	    38.6900	     0.6946	  1640.6922	    25.6627	  1666.3550	   593.2400	   593.2400	   585.9400	   314.1700	     3.9970	     3.1600	   775.3800	 regenerative cooling, opposite flow	 
  251.7400	    40.1400	     0.6497	  1534.0195	    24.0863	  1558.1058	   590.6100	   590.6100	   583.7800	   311.7500	     3.9980	     3.0500	   777.4600	 regenerative cooling, opposite flow	 
  258.8800	    41.5800	     0.6089	  1436.9279	    22.9632	  1459.8910	   588.6500	   588.6500	   582.2600	   309.3800	     3.9980	     2.9500	   779.4300	 regenerative cooling, opposite flow	 
  266.0300	    43.0000	     0.5723	  1349.9910	    22.0317	  1372.0227	   586.6700	   586.6700	   580.6600	   307.0600	     3.9990	     2.8500	   781.3700	 regenerative cooling, opposite flow	 
  273.1700	    44.4100	     0.5394	  1271.9738	    20.9860	  1292.9599	   584.6300	   584.6300	   578.9600	   304.7900	     3.9990	     2.7600	   783.2700	 regenerative cooling, opposite flow	 
  280.3100	    45.8100	     0.5098	  1201.7121	    20.0746	  1221.7866	   582.5800	   582.5800	   577.2300	   302.5600	     4.0000	     2.6800	   785.1300	 regenerative cooling, opposite flow	 
  288.6500	    47.4100	     0.4788	  1128.3743	    18.8619	  1147.2362	   580.1500	   580.1500	   575.1300	   300.0000	     4.0000	     2.5900	   787.2800	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
