Time,ox_n2_p,ox_tank_p,ox_ereg_angle,ox_feedforward,ox_proportional_term,ox_kp,fuel_n2_p,fuel_tank_p,fuel_ereg_angle,fuel_feedforward,fuel_proportional_term,fuel_kp,chamber_p,ox_inj_p,fuel_inj_p,fuel_inj_T,fuel_vdot,impulse_integral,ox_main_angle,fuel_main_angle,thrust,n2_fill_p
5.11641699218751,33.987692718824476,23.78749257531262,351.0,20.146133843483355,5.557213397880786e-40,15.0,39.313511083196076,33.939584482245365,1242.1794666943997,114.79386046272668,5.557213397880786e-40,9.438222047753044,-17.345539093017578,19.396427154541016,12.035507202148438,67.0390625,1.6666754484176636,-185003792.0,66.0,66.0,-287.70460698541245,217.03269141869941
5.31718969726569,31.83729135148945,21.94457456605027,351.0,20.165582844362135,5.557213397880786e-40,15.0,36.4184855317789,32.998823179253534,1250.1963831431283,114.80230887848175,5.557213397880786e-40,10.241005193387855,-16.20107650756836,17.525793075561523,11.806151390075684,66.734375,1.6231921911239624,-106735104.0,66.0,66.0,-260.10878111210843,217.0697500095678
5.519161376953093,29.79208785443098,20.093137077504817,351.15399835250275,20.184892743450337,5.557213397880786e-40,15.0,34.47290160279204,32.17967895842041,1257.112876049711,114.8085714229544,5.557213397880786e-40,10.940006770949154,-11.779521942138672,15.936341285705566,13.120201110839844,66.2578125,1.4880547523498535,-30200394.0,66.0,66.0,-228.23077116863246,217.04489989990847
5.720086914062563,27.898377020831127,18.117193011912107,351.96980778209456,20.205030922538505,5.557213397880786e-40,15.0,32.90233567867419,31.55138938726755,1262.1701439725987,114.81403907171118,5.557213397880786e-40,11.476148987675007,-15.47345733642578,14.70182991027832,13.639711380004885,65.953125,1.3483699560165403,22450388.0,66.0,66.0,-195.81829114646752,217.07548824614966
5.918315429687482,26.908002368809672,16.910925565649002,352.0,20.216653847814595,5.557213397880786e-40,15.0,31.44195239698447,30.939045460628957,1268.0180879593356,114.8194697102276,5.557213397880786e-40,11.998681805807864,-14.72053050994873,13.577807426452637,13.595171928405762,65.7109375,1.413307785987854,85608624.0,66.0,66.0,-195.67246524001862,217.04688837884126
6.117424804687516,25.917827080737034,15.70179376746737,352.0,20.228653698902512,5.557213397880786e-40,15.0,30.623175063353905,30.354742160059182,1272.9933565640067,114.82268857297234,5.557213397880786e-40,12.497287630585326,-17.533342361450195,12.598750114440918,13.512826919555664,65.28125,1.389103889465332,188575568.0,66.0,66.0,-186.26992494106537,216.96133182564517
6.320400390624968,24.8197639148976,14.389967889100113,352.0,20.24281669562511,5.557213397880786e-40,15.0,29.64562127589838,29.75526860673231,1278.1136166553893,114.82670956005575,2.8027913041427595,13.008837865954566,-17.508018493652344,11.712937355041504,13.33092212677002,64.953125,1.392192840576172,294422976.0,66.0,66.0,-178.9058191048853,217.09325706553648
6.521482177734356,24.137397100604478,13.450306377379098,352.0,20.252229043424222,5.557213397880786e-40,15.0,28.827521072114283,29.183047934243618,1283.1401041380673,114.83022674399969,5.557213397880786e-40,13.497133512904247,-17.389616012573242,10.976314544677734,13.212698936462402,64.546875,1.3771265745162964,392703040.0,66.0,66.0,-162.6634081324743,217.07474525421523
6.74210864257816,23.299472772407963,12.50408291794233,352.0,20.264355179056718,3.48498923472899e-40,15.0,28.073922199520783,28.502692389444828,1289.0960976052202,114.8336165038567,4.948088568169294e-40,14.077702753350291,-17.754798889160156,10.193391799926758,20.15171241760254,64.140625,1.775038719177246,516509152.0,66.0,66.0,-173.4085543441326,217.15116993726818
6.925071533203095,22.51788400010021,11.770211740571362,352.0,20.27600871303723,1.516388511553385e-41,15.0,26.949738442078583,27.4040728914771,1298.0,114.8389067783683,1.5633027397337004e-41,14.968825519584863,-17.642770767211914,9.58786392211914,21.158721923828125,63.640625,2.995330572128296,611305344.0,66.0,66.0,-160.33626952701113,217.1335776089857
